,title,overview,release_data,popularity,original_language,vote_average,vote_count
9827,Megalodon: The Monster Shark Lives,"In April 2013, a fishing vessel was attacked off the coast of South Africa, killing all on board. A TV crew documented Marine Biologist Collin Drake as he worked to determine the predator responsible. His discovery is presented in this shocking footage.",2013-08-04,8.15,en,5.1,6
9828,School Life,The daily life of a school located in Saint Denis.,2019-08-28,13.638,fr,7.0,591
9829,Sexy Beast,"Ex-safecracker Gal Dove has served his time behind bars and is blissfully retired to a Spanish villa paradise with a wife he adores. The idyll is shattered by the arrival of his nemesis Don Logan, intent on persuading Gal to return to London for one last big job.",2000-09-13,15.467,en,7.0,568
9830,12 Rounds 3: Lockdown,"Lockdown Follows a police officer who returns to duty after recovering from a gun shot wound to discover incriminating evidence of illegal activities against those closest to him. He quickly finds himself trapped inside his own precinct, hunted and in search of the truth, as the crooked cops stop at nothing to recover the evidence.",2015-09-11,16.015,en,5.8,144
9831,Arpeggio of Blue Steel -Ars Nova DC-,"Recap of the Aoki Hagane no Arpeggio: Ars Nova TV series, with approximately 40 minutes of new material.  By 2039, global warming had caused sea levels to rise and large amount of territory to be lost. As though in response, a mysterious group of warships clad in mist, ""the Fleet of Mist,"" appeared in every corner of the ocean, and began attacking human ships. In spite of humanity mustering all their strength, they were utterly defeated by the Mist's overwhelming force. All of humanity's trade routes were blockaded by the Fleet of Mist, their political economy was destroyed, and the human race was steadily beaten down. Seven years later, the Fleet of Mist's submarine I-401 appears before cadet Gunzo Chihaya. The humanoid life form that pilots the sub, who should be their enemy, is instead offering her services to mankind.",2015-01-31,10.492,ja,7.9,9
9832,HOUBA! On the Trail of the Marsupilami,"When reporter Dan Geraldo (Alain Chabat) arrives in Palombia to hunt for a scoop, he never suspects that he is about to make an incredible discovery... With his resourceful local guide Pablito (Jamel Debbouze), D an has one surprise after another during a thrilling adventure that allows him to bring the world some spectacular news: the Marsupilami, a mythical and mischievous animal, really does exist! You too will believe in furry tails!",2012-04-03,10.72,fr,5.2,742
9833,Malibu's Most Wanted,"A senator arranges for his son, a rich white kid who fancies himself black, to be kidnapped by a couple of black actors pretending to be murderers to try and shock him out of his plans to become a rapper.",2003-04-10,14.217,en,5.1,205
9834,Little Evil,"Gary, who has just married Samantha, the woman of his dreams, discovers that her six-year-old son may be the Antichrist.",2017-08-08,12.674,en,5.6,796
9835,Submerged,"Chris Kody, imprisoned member of the US military, is released from prison and reunited with his old team in order to pursue a renegade scientist. The catch, the scientist has developed mind control technology that can make even your friends into heartless killers.",2005-05-06,7.867,en,4.3,80
9836,Immortal Beloved,"A chronicle of the life of infamous classical composer Ludwig van Beethoven and his painful struggle with hearing loss. Following Beethoven's death in 1827, his assistant, Schindler, searches for an elusive woman referred to in the composer's love letters as ""immortal beloved."" As Schindler solves the mystery, a series of flashbacks reveal Beethoven's transformation from passionate young man to troubled musical genius.",1994-12-16,15.165,en,7.1,262
9837,The Last Days of American Crime,"In the not-too-distant future, as a final response to crime and terrorism, the U.S. government plans to broadcast a signal that will make it impossible for anyone to knowingly break the law.",2020-06-05,10.938,en,6.7,738
9838,My Little Pony: A Very Minty Christmas,"The 'Here Comes Christmas Candy Cane' is an important part of Ponyville: it’s the beacon that shows jolly old Santa Claus the way to the town as he makes his holiday rounds each year. But when Minty accidentally breaks it, it looks like Ponyville is destined to have a bleak holiday season. Minty is determined to do anything to save Christmas for her Pony friends while they, in turn, band together to try and cheer up their despondent four-legged friend.",2005-10-25,10.327,en,4.6,12
9839,Proxima,"Sarah is a French astronaut training at the European Space Agency in Cologne. She is the only woman in the arduous program. She lives alone with Stella, her seven year old daughter. Sarah feels guilty that she cannot spend more time with her child. Her love is overpowering, unsettling. When Sarah is chosen to join the crew of a year-long space mission called Proxima, it creates chaos in the mother-daughter relationship.",2019-11-27,13.733,fr,6.3,284
9840,Twixt,A declining writer arrives in a small town where he gets caught up in a murder mystery involving a young girl.,2011-09-10,11.218,en,4.9,214
9841,The Umbrellas of Cherbourg,"This simple romantic tragedy begins in 1957. Guy Foucher, a 20-year-old French auto mechanic, has fallen in love with 17-year-old Geneviève Emery, an employee in her widowed mother's chic but financially embattled umbrella shop. On the evening before Guy is to leave for a two-year tour of combat in Algeria, he and Geneviève make love. She becomes pregnant and must choose between waiting for Guy's return or accepting an offer of marriage from a wealthy diamond merchant.",1964-02-19,14.666,fr,7.4,564
9842,The King of Comedy,"Aspiring comic Rupert Pupkin attempts to achieve success in show business by stalking his idol, a late night talk-show host who craves his own privacy.",1983-02-18,16.003,en,7.8,1739
9843,Violent Delights,A female vampire falls in love with a man she met in a bar. A male vampire invites a pregnant woman and her friends to watch his theatre play. These two vampires are husband and wife.,2020-10-01,12.447,es,3.2,9
9844,Panfilov's 28 Men,"USSR, Late November, 1941. Based on the account by reporter Vasiliy Koroteev that appeared in the Red Army's newspaper, Krasnaya Zvezda, shortly after the battle, this is the story of Panifilov's Twenty-Eight, a group of twenty-eight soldiers of the Red Army's 316th Rifle Division, under the command of General Ivan Panfilov, that stopped the advance on Moscow of a column of fifty-four Nazi tanks of the 11th Panzer Division for several days. Though armed only with standard issue Mosin-Nagant infantry rifles and DP and PM-M1910 machine guns, all useless against tanks, and with wholly inadequate RPG-40 anti-tank grenades and PTRD-41 anti-tank rifles, they fight tirelessly and defiantly, with uncommon bravery and unwavering dedication, to protect Moscow and their Motherland.",2016-11-24,14.722,ru,7.0,127
9845,"¡A Volar, Joven!","Cantinflas is a private in the military, who doesn't know anything about discipline or following rules. He only wants to think about his girlfriend, the maid in an opulent hacienda. The owner of the hacienda has an ugly and shy daughter, who is in love with Cantinflas. The problems arrive when the family arranges a wedding between the ugly girl and Cantinflas, who in order to avoid the commitment gets himself arrested. During his punishment, Cantinflas learns to fly with a silly and poorly trained flight instructor.",1947-12-23,10.295,es,8.0,86
9846,Cure,"A wave of gruesome murders is sweeping Tokyo. The only connection is a bloody X carved into the neck of each of the victims. In each case, the murderer is found near the victim and remembers nothing of the crime. Detective Takabe and psychologist Sakuma are called in to figure out the connection, but their investigation goes nowhere...",1997-12-27,13.965,ja,7.4,280
9847,Breaking the Waves,"In a small and conservative Scottish village, a woman's paralytic husband convinces her to have extramarital intercourse so she can tell him about it and give him a reason for living.",1996-05-13,12.165,da,7.5,753
9848,Drunk Parents,Two drunk parents attempt to hide their ever increasing financial difficulties from their daughter and social circle through elaborate neighborhood schemes.,2019-02-08,12.978,en,4.7,207
9849,Movie Mad,"FLIP THE FROG, who is basically a walking, talking, white glove, bow- tie & short-pants wearing little black frog. In this outing, Flip is introduced to us as he is reading up on how to become a movie director, which essentially comes down to dressing up like Charlie Chaplin!",1931-08-28,15.998,en,6.5,4
9850,Staying Alive,It's five years later and Tony Manero's Saturday Night Fever is still burning. Now he's strutting toward his biggest challenger yet - making it as a dancer on the Broadway stage.,1983-07-11,12.214,en,5.7,369
9851,Magic Camp,"Andy, at the urging of his former mentor and Magic Camp owner Roy Preston, returns to the camp of his youth hoping to reignite his career. Instead, he finds inspiration in his ragtag bunch of rookie magicians.",2020-08-14,13.739,en,7.0,173
9852,Ladder 49,"Under the watchful eye of his mentor, Captain Mike Kennedy, probationary firefighter Jack Morrison matures into a seasoned veteran at a Baltimore fire station. However, Jack has reached a crossroads  as the sacrifices he's made have put him in harm's way innumerable times and significantly impacted his relationship with his wife and kids.",2004-10-01,15.915,en,6.4,634
9853,My Old Lady,"Mathias Gold is a down-on-his-luck New Yorker who inherits a Parisian apartment from his estranged father. But when he arrives in France to sell the vast domicile, he's shocked to discover a live-in tenant who is not prepared to budge. His apartment is a viager—an ancient French real estate system with complex rules pertaining to its resale—and the feisty Englishwoman Mathilde Girard, who has lived in the apartment with her daughter Chloé for many years, can by contract collect monthly payments from Mathias until her death.",2014-09-09,12.469,en,6.2,223
9854,Truth or Dare,"Eight college friends head to a ""Haunted Rental"" in a remote town for Halloween weekend. There, they play the game rumored to have caused the deaths of seven teenagers decades earlier, Truth or Dare. What starts out as vodka induced fun, quickly turns serious when the dares become sickeningly dangerous and the truths threaten to tear the group apart. When players attempt to refuse the increasingly challenging tasks, they're met with deadly consequences, quickly discovering: you must do the dare, or the dare does you. As the death toll mounts, the remaining players must race against the clock to outrun, outsmart and outlast the simple game of Truth or Dare.",2017-10-08,10.472,en,5.4,103
9855,The Perfect Score,Six high school seniors decide to break into the Princeton Testing Center so they can steal the answers to their upcoming SAT tests and all get perfect scores.,2004-01-30,15.464,en,5.8,391
9856,Duplicity,Two romantically-engaged corporate spies team up to manipulate a corporate race to corner the market on a medical innovation that will reap huge profits and enable them to lead an extravagant lifestyle together.,2009-03-18,13.415,en,5.9,619
9857,Bowling for Columbine,"This is not a film about gun control. It is a film about the fearful heart and soul of the United States, and the 280 million Americans lucky enough to have the right to a constitutionally protected Uzi. From a look at the Columbine High School security camera tapes to the home of Oscar-winning NRA President Charlton Heston, from a young man who makes homemade napalm with The Anarchist's Cookbook to the murder of a six-year-old girl by another six-year-old. Bowling for Columbine is a journey through the US, through our past, hoping to discover why our pursuit of happiness is so riddled with violence.",2002-10-09,15.985,en,7.6,1255
9858,Reclaim,"After their newly adopted daughter goes missing in a small town, Steven and Shannon will stop at nothing to uncover the truth behind her disappearance and the dangerous secret behind the adoption agency they trusted. Risking their own lives, they will discover just what being a parent means and how far they will go to get their child back.",2014-09-19,12.218,en,5.2,122
9859,The In-Laws,"Right before his daughter's wedding, a mild-mannered foot doctor discovers that his new in-laws are international smugglers.",2003-05-23,9.464,en,5.6,227
9860,The Snow Walker,A bush pilot in nothern Canada who with the aid of modernity thinks he can handle it all & knows it all. After reluctantly agreeing to transport a local indian girl to a medical facility his light plane crashes & they have to survive whilst finding their way back to civilization. Along the journey the man finds a new respect for the native ways as they battle to survive the elements.,2003-01-01,11.113,en,7.0,80
9861,DC Showcase: Death,"Vincent, an artist with unresolved inner demons, meets a mysterious girl who helps him come to terms with his creative legacy… and eventual death.",2019-10-22,14.13,en,8.5,78
9862,Like.Share.Follow.,"Garrett is a rising YouTube star. Shell is a deeply emotional fan. When they begin a romantic relationship, he's forced to question whether opening your life to strangers online is an invitation to community and rescue... or to stalking, obsession and madness.",2017-10-31,12.722,en,5.2,115
9863,The Rookie,"Veteran cop Nick Pulovski is used to playing musical partners; many of the partners he's had in the past have died on the job, and often as a result of Nick's risky tactics. But the rookie who's been assigned to help Nick bust a carjacking ring is almost as hotheaded as he is … and when Nick gets kidnapped, his newbie partner is his only hope.",1990-01-18,10.712,en,5.9,417
9864,Lavender,A photographer struggling with memory loss discovers her pictures may indicate something sinister is hitting close to home.,2016-11-04,15.47,en,5.7,273
9865,Premonition,"A depressed housewife who learns her husband was killed in a car accident the day previously, awakens the next morning to find him alive and well at home, and then awakens the day after to a world in which he is still dead.",2007-02-08,14.714,en,6.3,1282
9866,L'Avventura,"Claudia and Anna join Anna's lover, Sandro, on a boat trip to a remote volcanic island. When Anna goes missing, a search is launched. In the meantime, Sandro and Claudia become involved in a romance despite Anna's disappearance, though the relationship suffers from guilt and tension.",1960-09-14,10.213,it,7.6,511
9867,Don't Look Now,"Laura and John, grieved by a terrible loss, meet in Venice, where John is in charge of the restoration of a church, two mysterious sisters, one of whom gives them a message sent from the afterlife.",1973-12-03,11.962,en,7.0,769
9868,Isle of the Dead,Strangers trapped on a secluded island struggle to survive against hordes of the dead.,2016-12-02,10.66,en,4.7,23
9869,Let Life Be Beautiful,"The film was adapted from a real story, that tells a young boy Wang Xinyang's life has completely changed because of sudden leukemia. Facing the unknown tomorrow, Xinyang is still optimistic and strong.",2020-10-05,13.548,zh,7.0,1
9870,Dan in Real Life,"Advice columnist, Dan Burns is an expert on relationships, but somehow struggles to succeed as a brother, a son and a single parent to three precocious daughters. Things get even more complicated when Dan finds out that the woman he falls in love with is actually his brother's new girlfriend.",2007-10-26,11.964,en,6.5,975
9871,The Making of 'Scarface',"52-minute documentary on Scarface, both the making of the film and its reception.",1998-03-31,8.832,en,7.0,4
9872,The Bride of Frankenstein,"After recovering from injuries sustained in the mob attack upon himself and his creation, Dr. Frankenstein falls under the control of his former mentor, Dr. Pretorius, who insists the now-chastened doctor resume his experiments in creating new life. Meanwhile, the Monster remains on the run from those who wish to destroy him without understanding that his intentions are generally good despite his lack of socialization and self-control.",1935-04-20,14.312,en,7.6,690
9873,Lady of the Night,Angelina is tired of long serious relationships. One day she is brutally raped and she changes dramatically. Suddenly she is getting involved in more and more dangerous relations with unknown men until her behavior leads to a fatal crime.,1986-02-27,11.471,it,4.9,17
9874,Embrace of the Vampire,An 18-year-old college freshman is seduced by a handsome vampire lover who introduces her to a dark world of carnal desires.,1995-05-30,13.091,en,5.0,96
9875,Elephant,A depiction of a series of violent killings in Northern Ireland.,1989-02-13,15.966,en,6.4,72
9876,Timeline,A group of archaeological students become trapped in the past when they go there to retrieve their professor. The group must survive in 14th century France long enough to be rescued.,2003-11-26,15.966,en,5.7,870
9877,Samsara,"Filmed over nearly five years in twenty-five countries on five continents, and shot on seventy-millimetre film, Samsara transports us to the varied worlds of sacred grounds, disaster zones, industrial complexes, and natural wonders.",2011-09-16,13.663,en,8.1,479
9878,My Father's Other Family,"Shelby is devastated after her father's death. Curious about her family connections, she decides to look up the DNA-based family tree, and is surprised to find out that her father had another daughter. She goes on a mission to find her sibling and meets Rose, her half-sister. But as the initial euphoria dies down and the question of who gets her father's inheritance crops up, things begin to change.",2021-04-18,7.572,en,1.5,2
9879,Wicked Minds,Holden returns home from college and is surprised to find his overpowering competitive father married to a much younger woman Lana. Holden quickly falls for the beauty and charisma of his step mother. A passionate affair begins between son and stepmother.,2003-03-01,10.531,en,5.8,19
9880,Troublemakers,Two brothers who hate themselves are going to spend Christmas with their mother. She tries to get them together.,1994-11-25,11.209,it,6.1,175
9881,Interstellar: Nolan's Odyssey,A look behind the lens of Christopher Nolan's space epic.,2014-11-05,9.964,en,7.7,158
9882,Two Hands,"A 19-year-old finds himself in debt to a local gangster when some gang loot disappears and sets him on the run from thugs. Meanwhile, two street kids start a shopping spree when they find the missing money.",1999-07-29,9.96,en,6.6,105
9883,8 tiros,,2015-09-25,11.555,es,7.3,3
9884,Skinwalkers,"Creatures, bound by the blood of the wolf, that can kill with curses and move at lightening speed, watching the night sky for the rise of the blood-red crescent moon. They are SKINWALKERS. They feed on our flesh and thirst for the taste of human blood. The red moon signals each pack, divided by principles, hell bent to survive an ancient prophecy.",2006-03-20,15.461,en,5.1,229
9885,Like a Cat on a Highway,"The story of an encounter between a bourgeois man and a poor woman, because their teenage children fall in love.",2017-12-28,15.443,it,6.5,819
9886,The Insider,"Tells the true story of a 60 Minutes television series exposé of the tobacco industry, as seen through the eyes of a real tobacco executive, Jeffrey Wigand.",1999-03-10,15.109,en,7.5,1453
9887,Three Colors: White,"Polish immigrant Karol Karol finds himself out of a marriage, a job and a country when his French wife, Dominique, divorces him after six months due to his impotence. Forced to leave France after losing the business they jointly owned, Karol enlists fellow Polish expatriate Mikolah to smuggle him back to their homeland.",1994-01-26,11.658,fr,7.5,880
9888,Ted Bundy,"Docu-drama based on the life of Ted Bundy, a serial killer who killed at least 19 young women during the 1970's (though some sources say as many as 30 to 35 were murdered). Set from his college student years, to his first victims, his capture, escape from prison (twice), his final killing spree to his trial, conviction and execution.",2002-11-22,13.959,en,5.8,122
9889,The Cheetah Girls,"A four-member teen girl group named the Cheetah Girls go to a Manhattan High School for the Performing Arts and try to become the first freshmen to win the talent show in the school's history. During the talent show auditions, they meet a big-time producer named Jackal Johnson, who tries to make the group into superstars, but the girls run into many problems.",2003-08-15,12.709,en,6.0,414
9890,Tahan,"When Elise falls in love, she decides to stop being an escort. But her manipulative mother won’t let her and would make her life more chaotic.",2022-07-22,8.327,tl,4.0,1
9891,Hud,"Hud Bannon is a ruthless young man who tarnishes everything and everyone he touches. Hud represents the perfect embodiment of alienated youth, out for kicks with no regard for the consequences. There is bitter conflict between the callous Hud and his stern and highly principled father, Homer. Hud's nephew Lon admires Hud's cheating ways, though he soon becomes too aware of Hud's reckless amorality to bear him anymore. In the world of the takers and the taken, Hud is a winner. He's a cheat, but, he explains, ""I always say the law was meant to be interpreted in a lenient manner.""",1963-05-28,12.209,en,7.3,218
9892,Rollerball,"In a corporate-controlled future, an ultra-violent sport known as Rollerball represents the world, and one of its powerful athletes is out to defy those who want him out of the game.",1975-06-25,12.907,en,6.3,378
9893,The Eagle Has Landed,"When the Nazi high command learns in late 1943 that Winston Churchill will be spending time at a country estate in Norfolk, it hatches an audacious scheme to kidnap the prime minister and spirit him to Germany for enforced negotiations with Hitler.",1976-12-24,12.907,en,6.6,234
9894,Garden State,"Andrew returns to his hometown for the funeral of his mother, a journey that reconnects him with past friends. The trip coincides with his decision to stop taking his powerful antidepressants. A chance meeting with Sam - a girl also suffering from various maladies - opens up the possibility of rekindling emotional attachments, confronting his psychologist father, and perhaps beginning a new life.",2004-07-28,13.658,en,7.1,1499
9895,Grumpy Old Men,"For decades, next-door neighbors and former friends John and Max have feuded, trading insults and wicked pranks. When an attractive widow moves in nearby, their bad blood erupts into a high-stakes rivalry full of naughty jokes and adolescent hijinks.",1993-12-25,15.931,en,6.6,510
9896,Black Butler,"Set in the year 2020, Shiori Genbo runs the large corporation Funtom. Shiori is also a descendant of prestigious noble family Phantomhive of England. As a descendant of the noble family Phantomhive, Shiori solves difficult cases which are ordered by the queen. In order to take revenge, Shiori makes a deal with Butler Sebastian. Their deal involves Butler Sebastian protecting Shiori until her revenge is fulfilled and then Sebastian will consume her spirit.",2014-01-18,9.722,ja,7.0,92
9897,Fierce People,"A massage therapist looking to overcome her addictions and reconnect with her son, whose father is an anthropologist in South America studying the Yanomani people, moves in with a wealthy ex-client in New Jersey.",2005-01-01,14.437,en,6.2,91
9898,Don't Let Go,"A detective suffering from a personal loss receives a call from his recently deceased niece. Being able to communicate across time, the two work together to try and stop the crime before it occurs.",2019-08-30,15.362,en,6.9,246
9899,Interstate 60,An aspiring painter meets various characters and learns valuable lessons while traveling across America.,2002-04-13,14.457,en,7.3,500
9900,Mr. Magorium's Wonder Emporium,"Molly Mahoney is the awkward and insecure manager of Mr. Magorium's Wonder Emporium—the strangest, most fantastic and most wonderful toy store in the world. After Mr. Magorium bequeaths the store to her, a dark and ominous change begins to take over the once-remarkable Emporium.",2007-11-14,14.408,en,6.2,1064
9901,Sweet Family,A fat woman attempts to lose weight in order to use her mother's wedding dress with the help of  her evil sisters and needy fiancé.,2019-05-10,15.773,es,7.6,105
9902,Babyteeth,A terminally ill teen upsets her parents when she falls in love with a small-time drug dealer.,2020-06-15,12.229,en,6.9,242
9903,Naked Lunch,"Blank-faced bug killer Bill Lee and his dead-eyed wife, Joan, like to get high on Bill's pest poisons while lounging with Beat poet pals. After meeting the devilish Dr. Benway, Bill gets a drug made from a centipede. Upon indulging, he accidentally kills Joan, takes orders from his typewriter-turned-cockroach, ends up in a constantly mutating Mediterranean city and learns that his hip friends have published his work -- which he doesn't remember writing.",1991-12-27,12.906,en,7.0,793
9904,Queen of Spades: Through the Looking Glass,"The sinister ghost of the Queen of Spades is out for blood, her victims the students of an old boarding school shrouded in gloomy rumors.  Exploring the school’s abandoned wing, the teenagers discover a mirror covered in mysterious drawings.  Facing it, they playfully recite an incantation which renders their innermost desires a reality - at the expense of nothing less than their souls.",2019-03-14,11.022,ru,7.1,126
9905,Sharknado,"A freak hurricane hits Los Angeles, causing man-eating sharks to be scooped up in tornadoes and flooding the city with shark-infested seawater. Surfer and bar-owner Fin sets out with his friends Baz and Nova to rescue his estranged wife April and teenage daughter Claudia.",2013-07-11,12.21,en,4.0,1343
9906,COVID-21: Lethal Virus,"The climate change has released an ancient rabies virus trapped in the Antarctica ice. A female scientist tries to get to the laboratory to create a cure to save the world, protected by an eccentric and two members of the special forces.",2021-01-01,11.53,en,5.5,222
9907,Muppet Treasure Island,"After telling the story of Flint's last journey to young Jim Hawkins, Billy Bones has a heart attack and dies just as Jim and his friends are attacked by pirates. The gang escapes into the town where they hire out a boat and crew to find the hidden treasure, which was revealed by Bones before he died. On their voyage across the seas, they soon find out that not everyone on board can be trusted.",1996-02-16,11.455,en,6.6,298
9908,Tin Cup,A washed up golf pro working at a driving range tries to qualify for the US Open in order to win the heart of his succesful rival's girlfriend.,1996-08-16,14.156,en,6.0,418
9909,The Best Little Whorehouse in Texas,"The town sheriff and a madame team up to stop a television evangelist from shutting down the local whorehouse, the famed ""Chicken Ranch.""",1982-07-23,10.955,en,6.1,119
9910,Bugs Bunny's 3rd Movie: 1001 Rabbit Tales,"If Bugs Bunny were to direct his signature inquiry--""What's up, doc?""--toward the modern-day Warner Bros. creative team, he wouldn't be far off. For 1001 Rabbit Tales, they've doctored up a batch of classic cartoons featuring the carrot muncher and his bumbling comrades and bundled them, near seamlessly, into a feature-length film. Here's the premise: Bugs and Daffy, both book salesmen, are competing to sell the most copies of a kids' book. Instead of burrowing a beeline to his sales territory (he should have made a left at Albuquerque), Bugs ends up in the castle of Yosemite Sam, here a harem-leading honcho. Sam's pain-in-the-spurs son, Prince Abalaba, needs somebody to read him stories; Bugs, who'd sooner take the job than suffer the alternative, that involving being boiled in oil, signs on.",1982-11-19,11.704,en,7.0,147
9911,Braddock: Missing in Action III,"When Colonel James Braddock is told that his Asian wife and 12-year-old son are still alive in Communist Vietnam, he mounts a one-man assault to free them. Armed with the latest high-tech firepower, Braddock fights his way into the heart of the country and ends up battling his way out with several dozen abused Amerasian children in tow! Struggling to keep them alive while outmaneuvering a sadistic Vietnamese officer, Braddock ignites the jungle in a blazing cross-country race for freedom.",1988-01-22,14.954,en,5.7,182
9912,The Treasure of the Sierra Madre,"Fred C. Dobbs and Bob Curtin, both down on their luck in Tampico, Mexico in 1925, meet up with a grizzled prospector named Howard and decide to join with him in search of gold in the wilds of central Mexico. Through enormous difficulties, they eventually succeed in finding gold, but bandits, the elements, and most especially greed threaten to turn their success into disaster.",1948-01-15,11.358,en,8.0,900
9913,Whiskey Tango Foxtrot,"In 2002, cable news producer Kim Barker decides to shake up her routine by taking a daring new assignment in Kabul, Afghanistan. Dislodged from her comfortable American lifestyle, Barker finds herself in the middle of an out-of-control war zone. Luckily, she meets Tanya Vanderpoel, a fellow journalist who takes the shell-shocked reporter under her wing. Amid the militants, warlords and nighttime partying, Barker discovers the key to becoming a successful correspondent.",2016-03-04,11.16,en,6.3,802
9914,My Blind Date with Life,An ambitious young man struggles to achieve his dream of becoming an employee in a Munich luxury hotel despite being strongly visually impaired.,2017-01-26,11.961,de,7.5,243
9915,School of Life,"At Fallbrook Middle School, the annual student-elected Teacher of the Year award is held. And every year for the last 43 years Norman Warner or most fondly called Stormin' Norman Warner has won the award. Now that he has died, the burden of carrying the legacy falls into the hands of Matt Warner, the son of the late Norman Warner who has always lived in the shadow of his father.",2005-02-19,8.455,en,6.4,105
9916,Arthur & Merlin: Knights of Camelot,King Arthur returns home after fighting the Roman Empire. His illegitimate son has corrupted the throne of Camelot and King Arthur must reunite with the wizard Merlin and the Knights of the Round Table to fight to get back his crown.,2020-05-28,15.157,en,5.3,116
9917,Ya Veremos,"The story of Santi, a preteen who is dealing with the recent separation of his parents Rodrigo and Alejandra. Despite their divorce, Santi's parents are both desperately devoted to their son. When the three learn that Santi has a medical condition that could jeopardize his eyesight, Santi's father encourages him to make a list of places and things he wants to see and do before losing his sight completely. Santi immediately obliges with an elaborate list but with one condition - the estranged couple must come together to help him fulfill his dreams. As the three embark on the amazing, sometimes wacky adventure, the couple must learn how to live together for the sake of their son. But will the adventure open their eyes and make separating impossible? We'll see....",2018-07-21,9.715,es,8.1,115
9918,S.W.A.T.,"The story centers on the Chinese Special Police Unit, from their hard training to their first mission.",2019-12-29,13.561,zh,7.6,78
9919,Eurovision Song Contest: The Story of Fire Saga,"Two small-town aspiring musicians chase their pop star dreams at a global music competition, where high stakes, scheming rivals and onstage mishaps test their bond.",2020-06-26,15.875,en,6.4,1106
9920,Southside with You,"Chronicles a single day in the summer of 1989 when the future president of the United States, Barack Obama, wooed his future First Lady on an epic first date across Chicago's South Side.",2016-08-26,10.459,en,5.7,173
9921,Being There,"A simple-minded gardener named Chance has spent all his life in the Washington D.C. house of an old man. When the man dies, Chance is put out on the street with no knowledge of the world except what he has learned from television.",1979-12-19,14.902,en,7.6,745
9922,Sleuth,A mystery novelist devises an insurance scam with his wife’s lover – but things aren’t exactly as they seem.,1972-12-10,14.402,en,7.7,459
9923,Around the World in Eighty Days,"Based on the famous book by Jules Verne the movie follows Phileas Fogg on his journey around the world. Which has to be completed within 80 days, a very short period for those days.",1956-10-17,15.886,en,6.7,379
9924,Cowboys,"Troy and his young transgender son Joe are on the run from his conservative mother in the Montana wilderness, with a detective in hot pursuit.",2020-04-15,13.427,en,6.5,30
9925,A Christmas Prince: The Royal Wedding,"A year after Amber helped Richard secure the crown. The two are set to tie the knot in a royal Christmas wedding — but their plans are jeopardized when Amber finds herself second-guessing whether or not she's cut out to be queen, and Richard is faced with a political crisis that threatens to tarnish not only the holiday season but the future of the kingdom.",2018-11-30,12.215,en,6.4,819
9926,Arena,"David Lord finds himself forced into the savage world of a modern gladiatorial arena, where men fight to the death for the entertainment of the online masses.",2011-10-11,12.705,en,5.3,227
9927,Happiness Ever After,"This sequel to ""Happiness is a Four-Letter Word"" finds Zaza, Princess and Zim living new chapters of their lives amid loss, family grudges and new love.",2021-11-10,12.479,en,7.3,28
9928,To Live,Fugui and Jiazhen endure tumultuous events in China as their personal fortunes move from wealthy landownership to peasantry.,1994-05-26,12.402,zh,7.9,203
9929,Blow Out,"Jack Terry is a master sound recordist who works on grade-B horror movies. Late one evening, he is recording sounds for use in his movies when he hears something unexpected through his sound equipment and records it. Curiosity gets the better of him when the media become involved, and he begins to unravel the pieces of a nefarious conspiracy. As he struggles to survive against his shadowy enemies and expose the truth, he does not know whom he can trust.",1981-07-24,13.352,en,7.3,1051
9930,Ennio: The Maestro,"Well-rounded portrait of Ennio Morricone, the most popular and prolific film composer of the 20th century, the one most loved by the international public, a two-time Oscar winner and the author of over five hundred unforgettable scores.",2022-02-17,12.267,it,8.6,136
9931,Psych: The Movie,"The ambitious friends come together during the holidays after a mystery assailant targets one of their own. A comedic thrill-ride follows, as the wild and unpredictable Psych team pursues the bad guys, justice … and, of course, food!",2017-12-07,12.461,en,7.4,171
9932,Cat Ballou,"A woman seeking revenge for her murdered father hires a famous gunman, but he's very different from what she expects.",1965-06-24,11.452,en,6.5,181
9933,Above the Rim,"Story of a promising high school basketball star and his relationships with two brothers, one a drug dealer and the other a former basketball star fallen on hard times and now employed as a security guard.",1994-03-23,12.451,en,7.0,147
9934,Swiss Family Robinson,"After being shipwrecked, the Robinson family is marooned on an island inhabited only by an impressive array of wildlife. In true pioneer spirit, they quickly make themselves at home but soon face a danger even greater than nature: dastardly pirates. A rousing adventure suitable for the whole family, this Disney adaptation of the classic Johann Wyss novel stars Dorothy McGuire and John Mills as Mother and Father Robinson.",1960-12-21,12.202,en,6.9,251
9935,All the Right Moves,"Sensitive study of a headstrong high school football star who dreams of getting out of his small Western Pennsylvania steel town with a football scholarship. His equally ambitious coach aims at a college position, resulting in a clash which could crush the player's dreams.",1983-10-21,10.451,en,5.7,202
9936,Beethoven's Christmas Adventure,"A Christmas elf accidentally takes off in Santa's sleigh, crash lands in a small town, and loses the magic toy bag. Beethoven must rescue the elf, recover the bag from greedy crooks, and return the sleigh to Santa in time to save Christmas.",2011-11-08,14.454,en,6.1,102
9937,Gintama: The Movie,"Odd Jobs Gin has taken on a lot of odd work in the past, and when you're a Jack of All Trades agency based in a feudal Japan that's been conquered and colonized by aliens, the term ""Odd Jobs"" means REALLY ODD jobs. But when some more than slightly suspicious secrets from the shadows of Gintoki Sakata's somewhat shady former samurai past and a new pair of odd jobs collide, the action is bound to get so wild and demented that only a feature film will do it justice!",2010-04-24,11.854,ja,7.4,55
